Доллар США:USD
Евро:EUR
Японская иена:JPY
Британский фунт стерлингов:GBP
Австралийский доллар:AUD
Канадский доллар:CAD
Швейцарский франк:CHF
Китайский юань:CNY
Гонконгский доллар:HKD
Новозеландский доллар:NZD
Шведская крона:SEK
Южнокорейская вона:KRW
Сингапурский доллар:SGD
Норвежская крона:NOK
Мексиканский песо:MXN
Индийская рупия:INR
Российский рубль:RUB
Южноафриканский рэнд:ZAR
Турецкая лира:TRY
Бразильский реал:BRL
Тайваньский доллар:TWD
Датская крона:DKK
Польский злотый:PLN
Таиландский бат:THB
Индонезийская рупия:IDR
Венгерский форинт:HUF
Чешская крона:CZK
Израильский шекель:ILS
Саудовский риял:SAR
Арабский дирхам ОАЭ:AED
Малайзийский ринггит:MYR
Филиппинское песо:PHP
Кувейтский динар:KWD
Катарский риал:QAR
Чилийское песо:CLP
Колумбийский песо:COP
Аргентинское песо:ARS
Египетский фунт:EGP
Пакистанская рупия:PKR
Бангладешская така:BDT
Вьетнамский донг:VND
Украинская гривна:UAH
Исландская крона:ISK
Румынский лей:RON
Перуанский соль:PEN
Хорватская куна:HRK
Болгарский лев:BGN
Сербский динар:RSD
Марокканский дирхам:MAD
Нигерийская найра:NGN
